2026-04-18 21:44:42 [INFO    ] maid | _load_token:124 | App token: 2940df12...
2026-04-18 21:44:42 [INFO    ] maid | init_db:369 | DB init: C:\Ai\DigitalHuman_v8\memory.db
2026-04-18 21:44:42 [INFO    ] maid | init_db:378 | Migrated long_term_memory.embedding
2026-04-18 21:44:42 [INFO    ] maid | init_db:386 | DB ready
2026-04-18 21:44:42 [INFO    ] maid | _lifespan:1789 | Digital Human v9.0 started
2026-04-18 21:44:42 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/token
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/status
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /favicon.ico
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /memory
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /stats
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/scene_summary
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/rp_scene
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/topics
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-18 21:44:44 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:45:13 [INFO    ] maid | get_embedder:892 | Loading embedding model: intfloat/multilingual-e5-large (threads=8) -- first run may download ~1 GB
2026-04-18 21:45:20 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:45:20 [INFO    ] maid | get_embedder:899 | Embedding model ready: dim=1024
2026-04-18 21:45:50 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:46:20 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:46:50 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:47:20 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:47:50 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:48:20 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:48:51 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:49:21 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:49:51 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:50:54 [INFO    ] maid | _lifespan:1813 | Digital Human v9.0 stopped
2026-04-18 21:56:57 [INFO    ] maid | _load_token:124 | App token: 2940df12...
2026-04-18 21:56:57 [INFO    ] maid | init_db:369 | DB init: C:\Ai\DigitalHuman_v8\memory.db
2026-04-18 21:56:57 [INFO    ] maid | init_db:386 | DB ready
2026-04-18 21:56:58 [INFO    ] maid | _lifespan:1789 | Digital Human v9.0 started
2026-04-18 21:56:58 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/token
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /favicon.ico
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/status
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /memory
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /stats
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/scene_summary
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/rp_scene
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/topics
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-18 21:57:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:57:29 [INFO    ] maid | get_embedder:892 | Loading embedding model: intfloat/multilingual-e5-large (threads=8) -- first run may download ~1 GB
2026-04-18 21:57:36 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:57:36 [INFO    ] maid | get_embedder:899 | Embedding model ready: dim=1024
2026-04-18 21:57:59 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-18 21:58:02 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/tasks
2026-04-18 21:58:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-18 21:58:04 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-18 21:58:06 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:58:07 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-18 21:58:36 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:59:07 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 21:59:37 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:00:07 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:00:37 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:01:07 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:01:15 [INFO    ] maid | chat:1889 | Chat uid=master intent=greeting mode=default
2026-04-18 22:01:15 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-18 22:01:37 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:02:07 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:02:38 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:03:08 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:03:38 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:03:57 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.50 att=0.32
2026-04-18 22:04:09 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:04:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:05:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:05:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:06:02 [INFO    ] maid | chat:1889 | Chat uid=master intent=question mode=default
2026-04-18 22:06:02 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-18 22:06:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:06:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:06:40 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.34
2026-04-18 22:07:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:07:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:07:51 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-18 22:07:51 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-18 22:08:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:08:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:09:05 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.36
2026-04-18 22:09:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:09:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:09:53 [INFO    ] maid | chat:1889 | Chat uid=master intent=other mode=default
2026-04-18 22:09:53 [DEBUG   ] maid | _req_log:1845 | HTTP 200 POST /api/chat
2026-04-18 22:10:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:10:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:10:56 [DEBUG   ] maid | update_state:627 | State uid=master mood=0.56 att=0.38
2026-04-18 22:11:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:11:13 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-18 22:11:19 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/tasks
2026-04-18 22:11:20 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-18 22:11:21 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/reflections
2026-04-18 22:11:21 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-18 22:11:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:12:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:12:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:13:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:13:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:14:10 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-18 22:14:30 [INFO    ] maid | _lifespan:1813 | Digital Human v9.0 stopped
2026-04-19 00:14:59 [INFO    ] maid | _load_token:124 | App token: 2940df12...
2026-04-19 00:14:59 [INFO    ] maid | init_db:369 | DB init: C:\Ai\DigitalHuman_v8\memory.db
2026-04-19 00:14:59 [INFO    ] maid | init_db:386 | DB ready
2026-04-19 00:14:59 [INFO    ] maid | _lifespan:1789 | Digital Human v9.0 started
2026-04-19 00:15:00 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/token
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/status
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /favicon.ico
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/users
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /memory
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /stats
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/ltm
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/scene_summary
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/rp_scene
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /api/topics
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /config
2026-04-19 00:15:03 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:15:31 [INFO    ] maid | get_embedder:892 | Loading embedding model: intfloat/multilingual-e5-large (threads=8) -- first run may download ~1 GB
2026-04-19 00:15:38 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:15:39 [INFO    ] maid | get_embedder:899 | Embedding model ready: dim=1024
2026-04-19 00:16:09 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
2026-04-19 00:16:40 [DEBUG   ] maid | _req_log:1845 | HTTP 200 GET /health
